分類,商品標籤,商品名稱,描述,價格
生活用品,KTLM-E4C30RS / 名稱：【巧奇】成人醫用口罩 30片入-霧灰滿版系列【乾燥玫瑰】-台灣製 MD雙鋼印,【巧奇】成人醫用口罩 30片入-霧灰滿版系列【乾燥玫瑰】-台灣製 MD雙鋼印,"['數量：30入', '材質：防潑水不織布、熔噴布、親膚層不織布', '台灣製造 衛部醫器製壹字第 009162 號']",169 元
生活用品,KTLM-E5C30BK / 名稱：【巧奇】成人醫用口罩 30片入-暗色滿版系列【墨菊黑】-台灣製 MD雙鋼印,【巧奇】成人醫用口罩 30片入-暗色滿版系列【墨菊黑】-台灣製 MD雙鋼,"['數量：30入', '材質：防潑水不織布、熔噴布、親膚層不織布', '台灣製造 衛部醫器製壹字第 009162 號']",159 元
生活用品,KYKPE-561PK / 名稱：【KINYO】繽紛彩漾護眼計算機-粉,【KINYO】 繽紛彩漾護眼計算機-粉色,"['◆口袋型輕薄設計，攜帶便利', '◆對比清晰，維護視力健康', '◆8位元數字計算']",89 元
生活用品,KYKPE-588 / 名稱：桌上型護眼計算機,【KINYO】桌上型護眼計算機 (KPE-588),"['◆四捨五入、無條件捨去、無條件進位功能', '◆MU損益計算、GT總合計算', '◆12位元數字計算']",189 元
生活用品,KYLED-810 / 名稱：LED高亮度大頭燈,【KINYO】LED高亮度大頭燈 LED-810,"['◆可拆卸式燈頭設計.燈頭可90度上下調整，增加照明方向自由度', '◆採用節能/高亮度/超長壽命的歐司朗LED燈.防潑水貼心設計', '◆兩段式光源切換(強光、弱光)可依使用需求調整']",349 元
生活用品,PNBTB-001 / 名稱：群加 PVC電氣絕緣膠帶20M-黑色,群加 Powersync 包爾星克 PVC電氣絕緣膠帶20M-黑色 電源膠帶,"['‧ 絕緣度高、阻燃、耐高溫', '‧ 黏性強不易脫落 ‧ 韌性超強，不易扯斷', '‧ 電線纏繞、絕緣保護、通信配線等']",59 元
生活用品,PNBTB-901 / 名稱：群加 PVC電氣絕緣膠帶20M-白色,群加 Powersync 包爾星克 PVC電氣絕緣膠帶20M-白色 電源膠帶,"['‧ 絕緣度高、阻燃、耐高溫', '‧ 黏性強不易脫落 ‧ 韌性超強，不易扯斷', '‧ 電線纏繞、絕緣保護、通信配線等']",59 元
生活用品,UG40707 / 名稱：綠聯 2.5吋行動硬碟防震保護包(S)(40707),UGREEN綠聯 2.5吋行動硬碟防震保護包(S)(40707),"['◆40707', '★三重減震保護', '◆適用2.5行動硬碟及行動電源，加厚抗壓EVA材質']",249 元
生活用品,UG50274 / 名稱：綠聯 3C隨行包/2.5吋行動硬碟防震保護包 (大),綠聯 3C隨行包/2.5吋行動硬碟防震保護包 (大),"['◆原廠編號：50274', '◆三重減震保護 ◆適用2.5行動硬碟及行動電源 ◆加厚抗壓EVA材質', '']",399 元
生活用品,UG50276 / 名稱：綠聯 任天堂Switch抗壓收納包/配件保護包 大款 (50276),綠聯 任天堂Switch抗壓收納包/配件保護包 大款 (50276),"['◆原廠編號：50276', '◆外部抗壓 內部減震 ◆環保EVA+1680D牛津布材質', '◆堅實雙拉鍊 ◆內部絨質夾層設計']",899 元
生活用品,ZBSWAX-03 / 名稱：勁牛王金鑽棕櫚蠟,BULLSONE 勁牛王 100%頂級金鑽棕櫚蠟,"['◆Bullsone', '◆100%純淨天然巴西棕蠟', '◆如用液體蠟一樣的柔軟及便利']",999 元
生活用品,ZKYKPE-565G / 名稱：繽紛彩漾護眼計算機-綠色(KEP-56,【KINYO】 繽紛彩漾護眼計算機-綠色(KEP-565),"['◆超大按鍵，計算輕鬆不按錯', '◆大型螢幕數字顯示，眼睛無負擔', '◆12位元數字計算']",229 元
電池行動電源,00B023-BT1220 / 名稱：BT1220,BT1220 鈕扣電池 1220,"['PCB式', '', '']",價格須至店內詢問
電池行動電源,00B023-BT2016 / 名稱：BT2016,BT2016 鈕扣電池 CR2016,"['', '', '']",價格須至店內詢問
電池行動電源,00B023-BT2032C / 名稱：BT2032C,BT2032C 鈕扣電池 2032C PANASONIC,"['', '', '']",價格須至店內詢問
電池行動電源,00B023-BT2320 / 名稱：BT2320,BT2320 鈕扣電池 2320,"['', '', '']",價格須至店內詢問
電池行動電源,00B023-BT2330 / 名稱：BT2330,BT2330 VL2330 鋰電池,"['', '', '']",價格須至店內詢問
電池行動電源,00B023-BTCR1220 / 名稱：BTCR1220,BTCR1220 鈕扣電池 CR1220,"['', '', '']",價格須至店內詢問
電池行動電源,00B023-BTLR1130 / 名稱：BTLR1130,BTLR1130 鈕扣電池 LR1130,"['', '', '']",價格須至店內詢問
電池行動電源,00B023-BTLR41 / 名稱：BTLR41,BTLR41 鈕扣電池 LR-41,"['', '', '']",價格須至店內詢問
電池行動電源,00B023-BTLR44 / 名稱：BTLR44,BTLR44 鈕扣電池 LR-44,"['', '', '']",價格須至店內詢問
電池行動電源,00B023-BTSR1130 / 名稱：BTSR1130,BTSR1130 鈕扣電池 SR1130SW,"['', '', '']",價格須至店內詢問
電池行動電源,00B023-BTSR521 / 名稱：BTSR521,BTSR521 鈕扣電池 SR521 SW379,"['', '', '']",價格須至店內詢問
電池行動電源,00B023-BTSR621 / 名稱：BTSR621,BTSR621 鈕扣電池 SR621 SW364,"['', '', '']",價格須至店內詢問
電池行動電源,00B023-BTSR626 / 名稱：BTSR626,BTSR626 鈕扣電池 SR626SW,"['', '', '']",價格須至店內詢問
電池行動電源,BTFCT-344FXTHC / 名稱：FUJITSU 急速型充電器組(含四顆3號高容量低自放電池),FUJITSU 急速型充電器組(含四顆3號高容量低自放電池),"['◆Fujitsu FCT344FXTHC', '◆日本富士通 FUJITSU 附4顆日本製高容量3號低自放電池 急速充電器組', '◆日本富士通 FUJITSU工藝革新！品質進化！']",1690 元
電池行動電源,BTFCT-345FXTST / 名稱：FUJITSU雙迴路快速充電器組(含四顆3號低自放電池),FUJITSU雙迴路快速充電器組(含四顆3號低自放電池),"['◆Fujitsu FCT345FXTST', '◆日本富士通FUJITSU 附4顆日本製3號低自放電池 快速充電器組', '◆日本富士通 FUJITSU 工藝革新！品質進化！']",990 元
電池行動電源,BTFHR-3UTC2B / 名稱：Fujitsu 3號低自放充電電池1900mAh-2入,Fujitsu3號低自放充電電池1900mAh AA(2入),"['◆Fujitsu HR-3UTC(2B)', 'Fujitsu 低自放充電電池！日本製造！品質保證！', 'Fujitsu 工藝革新！品質進化！']",349 元
電池行動電源,BTFHR-3UTC4B / 名稱：Fujitsu 3號低自放充電電池 1900mAh-4入,Fujitsu 3號低自放充電電池 1900mAh AA (4入),"['◆Fujitsu HR-3UTC(4B)', 'Fujitsu 低自放充電電池！日本製造！品質保證！', 'Fujitsu 工藝革新！品質進化！']",599 元
電池行動電源,BTFHR-3UTHC2B / 名稱：Fujitsu 3號低自放充電電池2450mAh-2入),Fujitsu3號低自放充電電池2450mAh AA(2入),"['◆低自放充電電池', '◆日本製造！品質保證！', '◆Fujitsu 工藝革新！品質進化！']",549 元
電池行動電源,BTFHR-4UTC2B / 名稱：Fujitsu 4號低自放充電電池800mAh(2入),Fujitsu 4號低自放充電電池800mAh AAA (2入),"['◆Fujitsu HR-4UTC(2B)', 'Fujitsu 低自放充電電池！日本製造！品質保證！', 'Fujitsu 工藝革新！品質進化！']",349 元
電池行動電源,BTFHR-4UTHC2B / 名稱：Fujitsu4號低自放充電電池900mAh-2入,Fujitsu4號低自放充電電池900mAh AAA(2入),"['◆Fujitsu HR-4UTHC(2B)', 'Fujitsu 低自放充電電池！日本製造！品質保證！', 'Fujitsu 工藝革新！品質進化！']",549 元
電池行動電源,BTFHR-4UTHC4B / 名稱：Fujitsu 4號低自放充電電池 900mAh-4入,Fujitsu 4號低自放充電電池 900mAh AAA (4入),"['◆Fujitsu HR-4UTHC(4B)', 'Fujitsu 低自放充電電池！日本製造！品質保證！', 'Fujitsu 工藝革新！品質進化！']",699 元
電池行動電源,BTFLR6-FU / 名稱：Fujitsu 3號鹼性電池(4入熱縮包),Fujitsu 3號鹼性電池(4入熱縮包) AA,"['◆Fujitsu LR6-FU', '◆Fujitsu富士通日本技研！品質保證！', '◆Fujitsu富士通鹼性!超強電力!高抗漏液!']",55 元
電池行動電源,BTFUHR-4UTC4B / 名稱：Fujitsu 4號低自放充電電池750mAh(4入),Fujitsu 4號低自放充電電池 750mAh AAA,"['◆Fujitsu HR-4UTC(4B)', 'Fujitsu 低自放充電電池！日本製造！品質保證！', 'Fujitsu 工藝革新！品質進化！']",599 元
電池行動電源,BTGP1220-003 / 名稱：GP鋰電池CR1220,GP鋰電池CR1220,"['◆1220-003', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",35 元
電池行動電源,BTGP1616-003 / 名稱：GP鋰電池CR1616,GP鋰電池CR1616,"['◆1616-003', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",35 元
電池行動電源,BTGP1620-003 / 名稱：GP鋰電池CR1620,GP鋰電池CR1620,"['◆1620-003', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",50 元
電池行動電源,BTGP1632-003 / 名稱：GP鋰電池CR1632,GP鋰電池CR1632,"['◆1632-003', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",60 元
電池行動電源,BTGP2016-003 / 名稱：GP鋰電池CR2016,GP鋰電池CR2016 適用於手錶、相機及電腦後備記憶體,"['◆CR2016/DL2016 產地:日本', '◆適用於手錶、相機及電腦後備記憶體', '◆連續10年香港銷量No.1']",35 元
電池行動電源,BTGP2025-003 / 名稱：GP鋰電池CR2025,GP鋰電池CR2025,"['◆2025-003', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",35 元
電池行動電源,BTGP2032-003 / 名稱：GP鋰電池CR2032,GP鋰電池CR2032,"['◆2032-003', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",35 元
電池行動電源,BTGP23A / 名稱：GP遙控器電池23A,GP遙控器電池23A,"['◆23A', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",50 元
電池行動電源,BTGP27A / 名稱：GP遙控器電池27A,GP遙控器電池27A,"['◆27A', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",50 元
電池行動電源,BTGPGR3-16 / 名稱：GP超霸3號小小兵碳鋅電池16入,GP超霸3號小小兵碳鋅電池16入,"['◆GPGR3-16', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",99 元
電池行動電源,BTGPLR41-003 / 名稱：GP水銀電池2入192/LR41,GP水銀電池2入192/LR41,"['◆LR41-003', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",30 元
電池行動電源,BTGPLR43-003 / 名稱：GP水銀電池2入186/LR43,GP水銀電池2入186/LR43,"['◆LR43-003', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",30 元
電池行動電源,BTGPLR44-003 / 名稱：GP水銀電池2入A76/LR44,GP水銀電池2入A76/LR44,"['◆LR44-003', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",30 元
電池行動電源,BTGPLR54-003 / 名稱：GP水銀電池2入189/LR54(1130),GP水銀電池2入189/LR54(1130),"['◆LR54-003', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",30 元
電池行動電源,BTGPPRA-18650C / 名稱：實用牌18650 2200mAh鋰充電池3.7V,實用牌18650 2200mAh鋰充電池3.7V,"['◆PRA-18650C', '◆不具記憶效應，低自放電，可隨時充電。', '◆本產品通過經濟部標準檢驗局認證合格。']",120 元
電池行動電源,BTGPSA1-2 / 名稱：GP超霸1號特強鹼性電池2入,GP超霸1號特強鹼性電池2入,"['◆GPSA1-2', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",109 元
電池行動電源,BTGPSA2-2 / 名稱：GP超霸2號特強鹼性電池2入,GP超霸2號特強鹼性電池2入,"['◆GPSA2-2', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",90 元
電池行動電源,BTGPSA3-2 / 名稱：GP特強鹼性3號電池2入,GP特強鹼性3號電池2入,"['◆GPSA3-2', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",39 元
電池行動電源,BTGPSA4-2 / 名稱：GP特強鹼性4號電池2入,GP特強鹼性4號電池2入,"['◆GPSA4-2', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",44 元
電池行動電源,BTGPSA4-8 / 名稱：GP超霸4號特強鹼性電池8+2入,GP超霸4號特強鹼性電池8+2入,"['◆GPSA4-8', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",97 元
電池行動電源,BTGPSA9V / 名稱：GP超霸9V特強鹼性電池1入,GP超霸9V特強鹼性電池1入,"['◆GPSA9V', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",90 元
電池行動電源,BTGPSC-18650B / 名稱：18650超電王2600mAh鋰充電池3.7V,18650超電王2600mAh鋰充電池3.7V,"['◆SC-18650B', '◆不具記憶效應，低自放電，可隨時充電。', '◆本產品通過經濟部標準檢驗局認證合格。商檢字號:R73390']",149 元
電池行動電源,BTGPSC2-2 / 名稱：GP超霸2號綠能特級碳鋅電池2入,GP超霸2號綠能特級碳鋅電池2入,"['◆GPSC2-2', '◆用於不同耗電量產品上均表現出色', '◆連續10年香港銷量No.1']",40 元
電池行動電源,BTMUCR1632 / 名稱：日本muRata村田CR1632(5入卡裝),muRata村田CR1632(5入卡裝) 鈕扣型鋰電池,"['◆muRata CR1632(5入卡裝 )', '◆muRata日本技研！品質保證！', '◆muRata 獨一無二']",399 元
電池行動電源,BTMUCR2025-5 / 名稱：日本muRata村田CR2025(5入卡裝),muRata村田CR2025(5入卡裝),"['◆日本SONY製造廠-日本村田製作所 全新推出', '◆muRata CR2025(5入卡裝 )', '◆muRata日本技研！品質保證！']",199 元
電池行動電源,BTMUCR2450 / 名稱：日本muRata村田CR2450(5入卡裝),muRata村田CR2450(5入卡裝),"['◆muRata CR2450(5入卡裝 )', '◆muRata日本技研！品質保證！', '◆muRata 獨一無二']",290 元
電池行動電源,BTPSBK-4MCCE / 名稱：Panasonic 4號低放4入,Panasonic 2100回低自放鎳氫電池-AAA750m,"['◆BK-4MCCE/4BE', '◆日本原裝進口', '◆可重複使用約2,100次']",490 元
電池行動電源,KYCB-22 / 名稱：【KINYO】18650鋰電池2200mAh CB-22,【KINYO】18650鋰電池2200mAh CB-22,"['◆採用高品質電芯，使用最安全', '◆低自放電率，隨時使用最方便', '◆適用於LED手電筒、頭燈或各類18650鋰電池產品']",99 元
電池行動電源,KYCB-26 / 名稱：【KINYO】18650鋰電池2600mAh CB,【KINYO】18650鋰電池2600mAh CB-26,"['◆採用高品質電芯，使用最安全', '◆低自放電率，隨時使用最方便', '◆適用於LED手電筒、頭燈或各類18650鋰電池產品']",149 元
電池行動電源,"PWMPUQE10007PQ / 名稱：勁量無線快充行動電源 10,000mAh QE10007PQ","勁量無線快充行動電源 10,000mAh QE10007PQ QI無線","['◆Energizer勁量 QE10007PQ', '◆通過無線充電標準Qi認證，支援10W快充', '◆搭載PD，支援QC3.0. 單孔最大輸出功率達18W']",1190 元
電池行動電源,TOTO-TB10000P-W / 名稱：TOTOLINK PD雙快充Type-C雙向行動電源-紳士白,TOTOLINK PD雙快充Type-C雙向行動電源-紳士白,"['TOTOLINK TB10000P-W', '支援PD快充，30分鐘立即充50%；支援QC3.0快充，35分鐘立即充80%', '內贈USB-A to Type-C急速快充傳輸二用線']",1190 元
電池行動電源,"VPWMPUQE10007PQ / 名稱：勁量無線快充行動電源 10,000mAh QE10007PQ","勁量無線快充行動電源 10,000mAh QE10007PQ QI無線","['◆Energizer勁量 QE10007PQ', '◆通過無線充電標準Qi認證，支援10W快充', '◆搭載PD，支援QC3.0. 單孔最大輸出功率達18W']",1390 元
影音專區,ATUH3233 / 名稱：ATEN USB-C HDMI雙螢幕迷你擴充基座 (UH3233),ATEN USB-C Dual-HDMI 雙螢幕迷你擴充基座 (UH3233),"['◆透過單螢幕模式支援4K(UHD) 解析度', '◆支援雙螢幕模式，解析度最高可達到1920 x 1080', '◆USB3.1 Gen1連接埠，資料傳輸速率最高可達 5 Gbps']",2300 元
影音專區,ATUH3234 / 名稱：ATEN USB-C 10合1擴充基座 (UH3234),ATEN 多功能美形超輕薄ATEN USB-C 10合1擴充基座 (UH3234),"['◆可同時傳輸資料、手機充電、擴充2個螢幕、音訊、網路..等', '◆支援Display、HDMI或VGA等螢幕裝置，單螢幕可達4K，雙螢幕可達1080P', '◆鋁製時尚外型，強化線材EMI保護，防電磁干擾']",3590 元
影音專區,ATUH3235 / 名稱：ATEN UH3235 USB-C 4K 攜帶型充電擴充基座,"ATEN type C轉USB,4K HDMI,PD充電,可支援手機，任天堂switch","['相容於筆記型電腦、智慧型手機和USB-C遊戲機的USB-C多功能迷你擴充基座', '支援USB Power Delivery 2.0，最高可充電至60W（需要額外的USB-C PD 電源變壓器）', '支援4K解析度—最高可達3840 x 2160 @ 30Hz 支援三星DeX模式或華為桌面模式']",1890 元
影音專區,ATUH3238 / 名稱：ATEN USB-C 5合1口袋型快充擴充盒 (UH3238),ATEN USB-C 5合1口袋型快充擴充盒 (UH3238) 支援USB PD 3.0 電力傳輸 支援DP 1.4 Alt Mode與高達4K,"['● 隨插即用，無需驅動程序 ● 支援Thunderbolt? 3 (USB-C)', '● 支援USB PD 3.0 電力傳輸，最高可提供92W 的電力傳輸－支援規格包括5V、9V、15V、20V', '● 支援DP 1.4 Alt Mode與高達4K (3840 x 2160) @ 60 Hz 解析度，創造擬真且細緻的影像觀賞體驗']",1650 元
影音專區,ATUH3239 / 名稱：ATEN USB-C 6合1口袋型快充擴充盒 (UH3239),ATEN USB-C 5合1口袋型快充擴充盒 (UH3238) 支援USB PD 3.0 電力傳輸 支援DP 1.4 Alt Mode與高達4K,"['● 隨插即用，無需驅動程序 ● 支援Thunderbolt 3 (USB-C)', '● 支援高達4K (3840 x 2160) @ 30 Hz 解析度', '● 支援USB PD 2.0 電力傳輸，透過USB-C PD連接埠最高可提供筆電60W的充電－支援5V、12V、15V、20V']",1499 元
影音專區,ATUH7230 / 名稱：ATEN UH7230 Thunderbol 3充電擴充基座,ATEN Thunderbol 3 充電擴充基座 (UH7230),"['◆單機擴充8個周邊裝置', '◆傳輸速度達40Gbps', '◆支援單螢幕5K/雙螢幕4K顯示']",9950 元
影音專區,CAMCCDEX2-32G / 名稱：【路易視】EX2 後視鏡單鏡頭行車記錄器(含32G記憶卡),【路易視】EX2 後視鏡單鏡頭 行車記錄器(含32G記憶卡),"['◆入門最佳首選機種.超薄後視鏡', '◆1080 Full HD 高畫質.4.3吋大螢幕', '◆碰撞感應.移動偵測']",1150 元
影音專區,CAMCCDMX5-32G / 名稱：【路易視】MX5 雙鏡頭後視鏡行車紀錄器(含32G記憶卡),【路易視】MX5 雙鏡頭後視鏡 行車紀錄器(含32G記憶卡),"['◆八顆燈後鏡頭/1080P Full HD', '◆前後雙鏡頭，保障更雙重', '◆車牌式後鏡頭']",1590 元
影音專區,EBEPA173 / 名稱：S87 藍芽4.2無線摺疊頭戴耳機,E-books S87 藍芽4.2無線摺疊頭戴式耳機 E-EPA173,"['◆採用最新藍牙4.2版晶片', '◆音樂撥放與通話模式自動切換', '◆軟墊皮革耳罩，緊密貼合、隔絕噪音']",799 元
影音專區,EBEPB099 / 名稱：S32多媒體麥克風,E-books S32 電競多媒體麥克風,"['◆底部止滑設計，增加摩擦不位移', '◆專為電競遊戲設計，加強配重，更穩固', '◆麥克風可前後120度調整角度']",300 元
